Temperature,Energy,Accept,Improve,Elapsed,Remaining
536.9576185326332,1.32779124492e+18,1.0,0.0,   0:04:09,   0:05:49
532.0347614956777,1.32779124492e+18,1.0,0.0,   0:04:10,   0:05:48
527.1570374833223,1.32779124492e+18,0.0,0.0,   0:04:11,   0:05:48
522.3240327135096,1.32779124492e+18,0.0,0.0,   0:04:12,   0:05:47
517.5353371977604,1.32779124492e+18,0.0,0.0,   0:04:12,   0:05:47
512.7905447063912,1.32779124492e+18,0.0,0.0,   0:04:13,   0:05:46
508.0892527340552,1.32779124492e+18,0.0,0.0,   0:04:13,   0:05:45
503.43106246559705,1.32779124492e+18,0.0,0.0,   0:04:14,   0:05:45
498.8155787422196,1.32779124492e+18,0.0,0.0,   0:04:14,   0:05:44
494.242410027965,1.32779124492e+18,0.0,0.0,   0:04:15,   0:05:43
489.7111683764972,1.32779124492e+18,0.0,0.0,   0:04:16,   0:05:43
485.2214693981943,1.32779124492e+18,1.0,0.0,   0:04:16,   0:05:43
480.7729322275395,1.32779124492e+18,0.0,0.0,   0:04:17,   0:05:42
476.36517949081156,1.32779124492e+18,0.0,0.0,   0:04:17,   0:05:41
471.9978372740733,1.32779124492e+18,0.0,0.0,   0:04:18,   0:05:40
467.67053509145,1.32779124492e+18,0.0,0.0,   0:04:18,   0:05:40
463.38290585370265,1.32779124492e+18,0.0,0.0,   0:04:19,   0:05:39
459.1345858370866,1.32779124492e+18,0.0,0.0,   0:04:19,   0:05:38
454.92521465249575,1.32779124492e+18,0.0,0.0,   0:04:20,   0:05:38
450.75443521489206,1.32779124492e+18,0.0,0.0,   0:04:21,   0:05:37
446.62189371301247,1.32779124492e+18,0.0,0.0,   0:04:21,   0:05:36
442.527239579355,1.32779124492e+18,0.0,0.0,   0:04:22,   0:05:36
438.47012546043993,1.32779124492e+18,0.0,0.0,   0:04:23,   0:05:35
434.4502071873439,1.32779124492e+18,0.0,0.0,   0:04:23,   0:05:35
430.4671437465017,1.32779124492e+18,0.0,0.0,   0:04:24,   0:05:34
426.5205972507807,1.32779124492e+18,0.0,0.0,   0:04:24,   0:05:34
422.6102329108158,1.32779124492e+18,1.0,0.0,   0:04:25,   0:05:33
418.73571900660903,1.32779124492e+18,0.0,0.0,   0:04:26,   0:05:33
414.8967268593899,1.32779124492e+18,0.0,0.0,   0:04:26,   0:05:32
411.09293080373294,1.32779124492e+18,0.0,0.0,   0:04:27,   0:05:31
407.32400815993014,1.32779124492e+18,1.0,0.0,   0:04:27,   0:05:31
403.5896392066214,1.32779124492e+18,0.0,0.0,   0:04:28,   0:05:30
399.889507153667,1.32779124492e+18,0.0,0.0,   0:04:29,   0:05:30
396.2232981152785,1.32779124492e+18,0.0,0.0,   0:04:30,   0:05:29
392.59070108338784,1.32779124492e+18,0.0,0.0,   0:04:30,   0:05:29
388.9914079012686,1.32779124492e+18,0.0,0.0,   0:04:31,   0:05:28
385.42511323738984,1.32779124492e+18,0.0,0.0,   0:04:31,   0:05:28
381.89151455951776,1.32779124492e+18,0.0,0.0,   0:04:32,   0:05:27
378.3903121090519,1.32779124492e+18,1.0,0.0,   0:04:33,   0:05:26
374.9212088755932,1.32779124492e+18,0.0,0.0,   0:04:33,   0:05:26
371.4839105717515,1.32779124492e+18,0.0,0.0,   0:04:33,   0:05:25
368.07812560817945,1.32779124492e+18,1.0,0.0,   0:04:34,   0:05:24
364.70356506883707,1.32779124492e+18,0.0,0.0,   0:04:35,   0:05:24
361.3599426864818,1.32779124492e+18,1.0,0.0,   0:04:35,   0:05:23
358.04697481838576,1.32779124492e+18,1.0,0.0,   0:04:36,   0:05:22
354.7643804222729,1.32779124492e+18,0.0,0.0,   0:04:37,   0:05:22
351.5118810324786,1.32779124492e+18,0.0,0.0,   0:04:37,   0:05:22
348.28920073632554,1.32779124492e+18,1.0,0.0,   0:04:38,   0:05:21
345.09606615072124,1.32779124492e+18,0.0,0.0,   0:04:38,   0:05:20
341.93220639896225,1.32779124492e+18,0.0,0.0,   0:04:39,   0:05:20
338.7973530877586,1.32779124492e+18,1.0,0.0,   0:04:40,   0:05:19
335.69124028446583,1.32779124492e+18,0.0,0.0,   0:04:40,   0:05:19
332.6136044945226,1.32779124492e+18,0.0,0.0,   0:04:41,   0:05:18
329.5641846391018,1.32779124492e+18,1.0,0.0,   0:04:41,   0:05:17
326.5427220329601,1.32779124492e+18,0.0,0.0,   0:04:42,   0:05:17
323.5489603624965,1.32779124492e+18,0.0,0.0,   0:04:43,   0:05:16
320.5826456640053,1.32779124492e+18,0.0,0.0,   0:04:43,   0:05:16
317.6435263021353,1.32779124492e+18,0.0,0.0,   0:04:44,   0:05:15
314.73135294854166,1.32779124492e+18,0.0,0.0,   0:04:45,   0:05:15
311.84587856073585,1.32779124492e+18,0.0,0.0,   0:04:45,   0:05:14
308.98685836112736,1.32779124492e+18,0.0,0.0,   0:04:46,   0:05:14
